Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S127132261,Northern Shoveler,Spatula clypeata,474,1,US-KS,Johnson,L209591,KCP&L Wetlands,38.8014777,-94.9418021,2023-01-28,04:20 PM,eBird - Traveling Count,21,1,1.336,,1
S135313289,Northern Shoveler,Spatula clypeata,474,2,US-IA,Madison,L1242579,Jensen Marsh,41.3283737,-93.7943387,2023-04-28,12:45 PM,eBird - Traveling Count,96,1,1.609,,4
S110116222,Northern Shoveler,Spatula clypeata,474,1,US-MO,Saline,L342550,Grand Pass CA,39.2875556,-93.3177694,2022-05-14,04:23 PM,eBird - Traveling Count,39,1,12.215,,4
S108542081,Northern Shoveler,Spatula clypeata,474,14,US-KS,Stafford,L12877871,Quivira NWR (Stafford Co.),38.1511805,-98.5188995,2022-04-30,03:48 PM,eBird - Traveling Count,193,1,50.099,,4
S108519773,Northern Shoveler,Spatula clypeata,474,1,US-KS,Stafford,L1283484,Quivira NWR--Migrant's Mile & Park Smith Lake,38.1438472,-98.4915894,2022-04-30,02:11 PM,eBird - Traveling Count,90,1,2.43,,4
S96899294,Gadwall,Mareca strepera,478,1,US-MO,Holt,L170028,Loess Bluffs NWR,40.068893,-95.23534,2021-10-30,11:07 AM,eBird - Traveling Count,320,1,16.592,,4
S108627190,American Wigeon,Mareca americana,487,1,US-KS,Barton,L125099,Cheyenne Bottoms WA,38.4634203,-98.6551076,2022-05-01,09:24 AM,eBird - Traveling Count,261,1,41.859,,4
S120745576,American Wigeon,Mareca americana,487,3,US-AZ,Cochise,L2484537,Chiricahua NM--Faraway Ranch,32.0081078,-109.3723914,2022-10-15,03:53 PM,eBird - Stationary Count,9,0,,,2
S133228136,American Wigeon,Mareca americana,487,1,US-KS,Johnson,L7949771,Big Bull Creek Park,38.7575284,-94.9980146,2023-04-09,12:28 PM,eBird - Traveling Count,192,0,12.376,,2
S108542081,American Wigeon,Mareca americana,487,1,US-KS,Stafford,L12877871,Quivira NWR (Stafford Co.),38.1511805,-98.5188995,2022-04-30,03:48 PM,eBird - Traveling Count,193,1,50.099,,4
S108519773,American Wigeon,Mareca americana,487,5,US-KS,Stafford,L1283484,Quivira NWR--Migrant's Mile & Park Smith Lake,38.1438472,-98.4915894,2022-04-30,02:11 PM,eBird - Traveling Count,90,1,2.43,,4
S151966572,Mallard,Anas platyrhynchos,515,2,US-MI,Chippewa,L4529991,Tahquamenon Falls Rivermouth SP,46.5595123,-85.0375971,2023-10-11,01:32 PM,eBird - Traveling Count,116,0,4.136,,6
